Time ,CWND1,CWND3
1.22022,0,0
1.44145,5360,5360
1.44302,5896,5896
1.44459,6432,6432
1.44617,6968,6968
1.44774,7504,7504
1.64853,8040,8040
1.66344,8576,8576
1.66501,9112,9112
1.66658,9648,9648
1.66816,10184,10184
1.66973,10720,10720
1.6713,11256,11256
1.67288,11792,11792
1.87052,12328,12328
1.88543,12864,12864
1.887,13400,13400
1.88857,13936,13936
1.89015,14472,14472
1.89172,15008,15008
1.89329,15544,15544
1.89487,16080,16080
1.89644,16616,16616
1.89801,17152,17152
1.89959,17688,17688
2.09172,18224,18224
2.09329,18760,18760
2.10741,19296,19296
2.10899,19832,19832
2.11056,20368,20368
2.11213,20904,20904
2.11371,21440,21440
2.11528,21976,21976
2.11685,22512,22512
2.11843,23048,23048
2.12,23584,23584
2.12157,24120,24120
2.12315,24656,24656
2.12472,25192,25192
2.12629,25728,25728
2.12787,26264,26264
2.12944,26800,26800
2.31371,27336,27336
2.31528,27872,27872
2.31685,28408,28408
2.3294,28944,28944
2.33098,29480,29480
2.33255,30016,30016
2.33412,30552,30552
2.3357,31088,31088
2.33727,31624,31624
2.33884,32160,32160
2.34042,32696,32696
2.34199,33232,33232
2.34356,33768,33768
2.34514,34304,34304
2.34671,34840,34840
2.34828,35376,35376
2.34986,35912,35912
2.35143,36448,36448
2.353,36984,36984
2.35458,37520,37520
2.35615,38056,38056
2.35772,38592,38592
2.3593,39128,39128
2.36087,39664,39664
2.36244,40200,40200
2.53491,40736,40736
2.53648,41272,41272
2.53806,41808,41808
2.53963,42344,42344
2.5412,42880,42880
2.55139,43416,43416
2.55296,43952,43952
2.55454,44488,44488
2.55611,45024,45024
2.55768,45560,45560
2.55926,46096,46096
2.56083,46632,46632
2.5624,47168,47168
2.56398,47704,47704
2.56555,48240,48240
2.56712,48776,48776
2.5687,49312,49312
2.57027,49848,49848
2.57184,50384,50384
2.57342,50920,50920
2.57499,51456,51456
2.57656,51992,51992
2.57814,52528,52528
2.57971,53064,53064
2.58128,53600,53600
2.58286,54136,54136
2.58443,54672,54672
2.586,55208,55208
2.58758,55744,55744
2.58915,56280,56280
2.59072,56816,56816
2.5923,57352,57352
2.59387,57888,57888
2.59544,58424,58424
2.59702,58960,58960
2.59859,59496,59496
2.60016,60032,60032
2.60174,60568,60568
2.7569,61104,61104
2.75847,61640,61640
2.76004,62176,62176
2.76162,62712,62712
2.76319,63248,63248
2.76476,63784,63784
2.76634,64320,64320
2.77259,64856,64856
2.77417,65392,65392
2.77574,65928,65928
2.77731,66464,66464
2.77889,67000,67000
2.78046,67536,67536
2.78203,68072,68072
2.78361,68608,68608
2.78518,69144,69144
2.78675,69680,69680
2.78833,70216,70216
2.7899,70752,70752
2.79147,71288,71288
2.79305,71824,71824
2.79462,72360,72360
2.79619,72896,72896
