Time,QueueSize
1,2
1.10003,2
1.11011,2
1.12019,2
1.22022,12
1.22025,1
1.22056,1
1.22087,1
1.22119,1
1.2215,1
1.22182,1
1.22213,1
1.22245,1
1.22276,1
1.22308,1
1.32025,2
1.32056,2
1.32087,1
1.32119,1
1.32135,1
1.3215,1
1.32182,1
1.32213,2
1.32245,1
1.32276,1
1.32292,1
1.32308,1
1.32339,1
1.32371,1
1.32449,1
1.32528,1
1.32607,1
1.32685,1
1.32764,1
1.33135,2
1.33292,2
1.33449,2
1.33607,2
1.33764,2
1.34142,2
1.34299,2
1.34457,2
1.34614,2
1.34771,2
1.44145,3
1.44176,1
1.44302,4
1.44334,1
1.44365,1
1.44459,4
1.44491,1
1.44522,1
1.44617,4
1.44648,1
1.4468,1
1.44774,4
1.44806,1
1.44837,1
1.53843,2
1.54176,2
1.54208,1
1.54255,1
1.54334,2
1.54365,1
1.54396,1
1.54412,1
1.54491,2
1.54522,1
1.54554,1
1.5457,1
1.54648,2
1.5468,1
1.54711,1
1.54727,1
1.54806,2
1.54837,1
1.5485,2
1.54868,1
1.54884,1
1.54963,1
1.55042,1
1.5512,1
1.55199,1
1.55334,2
1.55491,2
1.55648,2
1.55806,2
1.55963,2
1.5612,2
1.56278,2
1.56341,2
1.56498,2
1.56655,2
1.56813,2
1.5697,2
1.57127,2
1.57285,2
1.64853,3
1.64884,1
1.66344,4
1.66375,1
1.66407,1
1.66501,4
1.66532,1
1.66564,1
1.66658,4
1.6669,1
1.66721,1
1.66816,4
1.66847,1
1.66879,1
1.66973,4
1.67004,1
1.67036,1
1.6713,4
1.67162,1
1.67193,1
1.67288,4
1.67319,1
1.67351,1
1.74884,2
1.74916,1
1.74963,1
1.76042,2
1.76375,2
1.76407,1
1.76438,1
1.76454,1
1.76532,2
1.76564,1
1.76595,1
1.76611,1
1.7669,2
1.76721,1
1.76753,1
1.76768,1
1.76847,2
1.76879,1
1.7691,1
1.76926,1
1.77004,2
1.77036,1
1.77049,2
1.77067,1
1.77083,1
1.77162,2
1.77193,1
1.77225,1
1.7724,1
1.77319,2
1.77351,1
1.77382,1
1.77398,1
1.77476,1
1.77532,2
1.77555,1
1.77634,1
1.7769,2
1.77712,1
1.77791,1
1.77847,2
1.7787,1
1.77948,1
1.78004,2
1.78162,2
1.78319,2
1.78476,2
1.7854,2
1.78634,2
1.78697,2
1.78791,2
1.78854,2
1.78948,2
1.79012,2
1.79169,2
1.79326,2
1.79484,2
1.79641,2
1.79798,2
1.79956,2
1.87052,4
1.87083,1
1.87115,1
1.88543,4
1.88574,1
1.88605,1
1.887,4
1.88731,1
1.88763,1
1.88857,4
1.88889,1
1.8892,1
1.89015,4
1.89046,1
1.89077,1
1.89172,4
1.89203,1
1.89235,1
1.89329,4
1.89361,1
1.89392,1
1.89487,4
1.89518,1
1.89549,1
1.89644,4
1.89675,1
1.89707,1
1.89801,4
1.89833,1
1.89864,1
1.89959,4
1.8999,1
1.90021,1
1.97083,2
1.97115,1
1.97146,1
1.97162,1
1.9724,1
1.98162,2
1.98319,2
1.98574,2
1.98605,1
1.98637,1
1.98653,1
1.98731,2
1.98763,1
1.98794,1
1.9881,1
1.98889,2
1.9892,1
1.98952,1
1.98967,1
1.99046,2
1.99077,1
1.99109,1
1.99125,1
1.99169,2
1.99203,2
1.99235,1
1.99266,1
1.99282,1
1.99326,2
1.99361,2
1.99392,1
1.99424,1
1.99439,1
1.99518,2
1.99549,1
1.99581,1
1.99597,1
1.99675,2
1.99707,1
1.99731,2
1.99738,1
1.99754,1
1.99833,2
1.99864,1
1.99889,2
1.99896,1
1.99911,1
1.9999,2
2.00021,1
2.00046,2
2.00053,1
2.00069,1
2.00147,1
2.00203,2
2.00226,1
2.00305,1
2.00361,2
2.00383,1
2.00462,1
2.00518,2
2.00541,1
2.00619,1
2.00675,2
2.00698,1
2.00739,2
2.00777,1
2.00833,2
2.00855,1
2.00896,2
2.0099,2
2.01053,2
2.01147,2
2.01211,2
2.01305,2
2.01368,2
2.01462,2
2.01525,2
2.01619,2
2.01683,2
2.01777,2
2.0184,2
2.01934,2
2.01997,2
2.02155,2
2.02312,2
2.02469,2
2.02627,2
2.02784,2
2.02941,2
2.09172,4
2.09203,1
2.09235,1
2.09329,4
2.09361,1
2.09392,1
2.10741,4
2.10773,1
2.10804,1
2.10899,4
2.1093,1
2.10962,1
2.11056,4
2.11088,1
2.11119,1
2.11213,4
2.11245,1
2.11276,1
2.11371,4
2.11402,1
2.11434,1
2.11528,4
2.1156,1
2.11591,1
2.11685,4
2.11717,1
2.11748,1
