Time,Waiting Time
1,0
1.40015,0
1.40018,3E-05
1.4005,0.00035
1.40081,0.00066
1.40113,0.00098
1.40144,0.00129
1.40176,0.00161
1.40207,0.00031
1.40239,0.00224
1.4027,0.00255
1.40302,0.00287
1.80104,0
1.80136,0.00032
1.80199,0
1.8023,0.00031
1.80262,0.00063
1.80293,0
1.80324,0.00031
1.80356,0.00063
1.80387,0
1.80419,0.00032
1.8045,0.00063
1.80482,0
1.80513,0.00031
1.80545,0.00063
2.00529,0
2.0056,0.00031
2.20237,0
2.20269,0.00032
2.203,0.00063
2.20332,0
2.20363,0.00031
2.20395,0.00063
2.20426,0
2.20458,0.00032
2.20489,0.00063
2.2052,0
2.20552,0.00032
2.20583,0.00063
2.20615,0
2.20646,0.00031
2.20678,0.00063
2.20709,0
2.20741,0.00032
2.20772,0.00063
2.20804,0
2.20835,0.00031
2.20867,0.00063
2.40662,0
2.40694,0.00032
2.40725,0.00063
2.6037,0
2.60402,0.00032
2.60433,0.00063
2.60465,0
2.60496,0.00031
2.60528,0.00063
2.60559,0
2.60591,0.00032
2.60622,0.00063
2.60654,0
2.60685,0.00031
2.60716,0.00062
2.60748,0
2.60779,0.00031
2.60811,0.00063
2.60842,0
2.60874,0.00032
2.60905,0.00063
2.60937,0
2.60968,0.00031
2.61,0.00063
2.61031,0
2.61063,0.00032
2.61094,0.00063
2.61126,0
2.61157,0.00031
2.61188,0.00062
2.6122,0
2.61251,0.00031
2.61283,0.00063
2.80748,0
2.80779,0.00031
2.80811,0.00063
2.80842,0
2.80874,0.00032
2.80905,0.00063
3.00503,0
3.00535,0.00032
3.00566,0.00063
3.00598,0
3.00629,0.00031
3.00661,0.00063
3.00692,0
3.00724,0.00032
3.00755,0.00063
3.00787,0
3.00818,0.00031
3.0085,0.00063
3.00881,0
3.00912,0.00031
3.00944,0.00063
3.00975,0
3.01007,0.00032
3.01038,0.00063
3.0107,0
3.01101,0.00031
3.01133,0.00063
3.01164,0
3.01196,0.00032
3.01227,0.00063
3.01259,0
3.0129,0.00031
3.01322,0.00063
3.01353,0
3.01384,0.00031
3.01416,0.00063
3.01447,0
3.01479,0.00032
3.0151,0.00063
3.01542,0
3.01573,0.00031
3.01605,0.00063
3.01636,0
3.01668,0.00032
3.01699,0.00063
3.01731,0
3.01762,0.00031
3.01794,0.00063
3.01825,0
3.01856,0.00031
3.01888,0.00063
3.20881,0
3.20912,0.00031
3.20944,0.00063
3.20975,0
3.21007,0.00032
3.21038,0.00063
3.2107,0
3.21101,0.00031
3.21133,0.00063
3.40636,0
3.40668,0.00032
3.40699,0.00063
3.40731,0
3.40762,0.00031
3.40794,0.00063
3.40825,0
3.40857,0.00032
3.40888,0.00063
3.4092,0
3.40951,0.00031
3.40983,0.00063
3.41014,0
3.41046,0.00032
3.41077,0.00063
3.41108,0
3.4114,0.00032
3.41171,0.00063
3.41203,0
3.41234,0.00031
3.41266,0.00063
3.41297,0
3.41329,0.00032
3.4136,0.00063
3.41392,0
3.41423,0.00031
3.41455,0.00063
3.41486,0
3.41518,0.00032
3.41549,0.00063
3.4158,0
3.41612,0.00032
3.41643,0.00063
3.41675,0
3.41706,0.00031
3.41738,0.00063
3.41769,0
3.41801,0.00032
3.41832,0.00063
3.41864,0
3.41895,0.00031
3.41927,0.00063
3.41958,0
3.4199,0.00032
3.42021,0.00063
3.42052,0
3.42084,0.00032
3.42115,0.00063
3.42147,0
3.42178,0.00031
3.4221,0.00063
3.42241,0
3.42273,0.00032
3.42304,0.00063
3.42336,0
3.42367,0.00031
3.42399,0.00063
3.4243,0
3.42462,0.00032
3.42493,0.00063
3.42524,0
3.42556,0.00032
3.42587,0.00063
3.42619,0
3.4265,0.00031
3.42682,0.00063
3.60967,0
3.60998,0.00031
3.6103,0.00063
3.61061,0
3.61093,0.00032
3.61124,0.00063
3.61156,0
3.61187,0.00031
3.61219,0.00063
3.6125,0
3.61282,0.00032
3.61313,0.00063
3.61344,0
3.61376,0.00032
3.61407,0.00063
3.8077,0
3.80801,0.00031
3.80832,0.00062
3.80864,0
3.80895,0.00031
3.80927,0.00063
3.80958,0
3.8099,0.00032
3.81021,0.00063
3.81053,0
3.81084,0.00031
3.81116,0.00063
3.81147,0
3.81179,0.00032
3.8121,0.00063
3.81242,0
3.81273,0.00031
3.81304,0.00062
3.81336,0
3.81367,0.00031
3.81399,0.00063
3.8143,0
3.81462,0.00032
3.81493,0.00063
3.81525,0
3.81556,0.00031
3.81588,0.00063
3.81619,0
3.81651,0.00032
3.81682,0.00063
3.81714,0
3.81745,0.00031
3.81776,0.00062
3.81808,0
3.81839,0.00031
3.81871,0.00063
3.81902,0
3.81934,0.00032
3.81965,0.00063
3.81997,0
3.82028,0.00031
3.8206,0.00063
3.82091,0
3.82123,0.00032
3.82154,0.00063
3.82186,0
3.82217,0.00031
3.82248,0.00062
3.8228,0
3.82311,0.00031
3.82343,0.00063
3.82374,0
3.82406,0.00032
3.82437,0.00063
3.82469,0
3.825,0.00031
3.82532,0.00063
3.82563,0
3.82595,0.00032
3.82626,0.00063
3.82658,0
3.82689,0.00031
3.8272,0.00062
3.82752,0
3.82783,0.00031
3.82815,0.00063
3.82846,0
3.82878,0.00032
3.82909,0.00063
3.82941,0
3.82972,0.00031
3.83004,0.00063
3.83035,0
3.83067,0.00032
3.83098,0.00063
3.8313,0
3.83161,0.00031
3.83192,0.00062
3.83224,0
3.83255,0.00031
3.83287,0.00063
3.83318,0
3.8335,0.00032
3.83381,0.00063
3.83413,0
