Time,QueueSize
1.20008,2
1.60097,2
1.60191,2
1.60286,2
1.6038,2
1.60475,2
1.80522,2
2.0023,2
2.00324,2
2.00419,2
2.00513,2
2.00608,2
2.00702,2
2.00796,2
2.20655,2
2.40363,2
2.40458,2
2.40552,2
2.40646,2
2.40741,2
2.40835,2
2.4093,2
2.41024,2
2.41118,2
2.41213,2
2.60741,2
2.60835,2
2.80496,2
2.80591,2
2.80685,2
2.80779,2
2.80874,2
2.80968,2
2.81063,2
2.81157,2
2.81251,2
2.81346,2
2.8144,2
2.81535,2
2.81629,2
2.81723,2
2.81818,2
3.00874,2
3.00968,2
3.01063,2
3.20629,2
3.20724,2
3.20818,2
3.20912,2
3.21007,2
3.21101,2
3.21196,2
3.2129,2
3.21384,2
3.21479,2
3.21573,2
3.21668,2
3.21762,2
3.21856,2
3.21951,2
3.22045,2
3.2214,2
3.22234,2
3.22328,2
3.22423,2
3.22517,2
3.22612,2
3.4096,2
3.41054,2
3.41148,2
3.41243,2
3.41337,2
3.60762,2
3.60857,2
3.60951,2
3.61046,2
3.6114,2
3.61234,2
3.61329,2
3.61423,2
3.61518,2
3.61612,2
3.61706,2
3.61801,2
3.61895,2
3.6199,2
3.62084,2
3.62178,2
3.62273,2
3.62367,2
3.62462,2
3.62556,2
3.6265,2
3.62745,2
3.62839,2
3.62934,2
3.63028,2
3.63122,2
3.63217,2
3.63311,2
3.63406,2
3.635,2
3.63594,2
3.63689,2
3.63783,2
3.81093,2
3.81187,2
3.81282,2
3.81376,2
3.8147,2
3.81565,2
3.81659,2
4.00848,2
4.00943,2
4.01037,2
4.01131,2
4.01226,2
4.0132,2
4.01415,2
4.01509,2
4.01603,2
4.01698,2
4.01792,2
4.01887,2
4.01981,2
4.02075,2
4.0217,2
4.02264,2
4.02359,2
4.02453,2
4.02547,2
4.02642,2
4.02736,2
4.02831,2
4.02925,2
4.03019,2
4.03114,2
4.03208,2
4.03303,2
4.03397,2
4.03491,2
4.03586,2
4.0368,2
4.03775,2
4.03869,2
4.03963,2
4.04058,2
4.04152,2
4.04247,2
4.04341,2
4.04435,2
4.0453,2
4.04624,2
4.04719,2
4.04813,2
4.04907,2
4.05002,2
4.05096,2
4.05191,2
4.05285,2
4.05379,2
4.05474,2
4.21226,2
4.2132,2
4.21415,2
4.21509,2
4.21603,2
4.21698,2
4.21792,2
4.21887,2
4.21981,2
4.22075,2
4.40934,2
4.41028,2
4.41123,2
4.41217,2
4.41312,2
4.41406,2
4.415,2
4.41595,2
4.41689,2
4.41784,2
4.41878,2
4.41972,2
4.42067,2
4.42161,2
4.42256,2
4.4235,2
4.42444,2
4.42539,2
4.42633,2
4.42728,2
4.42822,2
4.42916,2
4.43011,2
4.43105,2
4.432,2
4.43294,2
4.43388,2
4.43483,2
4.43577,2
4.43672,2
4.43766,2
4.4386,2
4.43955,2
4.44049,2
4.44144,2
4.44238,2
4.44332,2
4.44427,2
4.44521,2
